,SowingSeedsDistributed_Maize_320,LivestockCensus_2012_Cattle_354,LivestockCensus_2012_Buffaloes_355,MotorVehicles_Trailers_515,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188,NetAreaIrrigatedUnderDifferentSources_TotalNetIrrigatedArea_189,NetAreaIrrigatedUnderDifferentSources_TubeWells_GrossIrrigatedArea_181,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea_182,AreaUnderCereals_Maize_193,MotorVehicles_Tractors_514,TotalAgricultureLoan,TotalNPK_315,Maize_Production_226
0,4.45,2567.461578139793,158.89906957004342,209.59714015213345,211.55212693023407,178.80609839704874,207.604557474454,175.7232346315824,21.22288531226535,275.16438901766185,98.02510482844175,438.1802095915902,54.11929744376612
1,134.73,25037.13927143492,3843.536661483785,139.83089367688436,3741.5405079224047,3319.5255108840515,3605.020154005627,3197.193184510588,2343.704505405005,154.6495002221235,3429.301432881682,3036.080249518732,6712.986409743818
2,260.15,7729.614276850919,910.6417524746277,100.49506782101854,1056.908323514512,1007.5084100339816,723.3622490508473,709.8598043066205,59.09550155678125,339.25635946562846,928.035815929828,222.22525799308983,310.7941576589653
3,5004.0,83821.5930925161,46440.04707464694,3558.078345662408,32643.416754731483,28658.466231146125,31995.968632913824,28105.507253338452,28010.714285714286,5647.169516764338,37647.33395378999,10902.40657123643,82632.42746661542
4,6124.6,85657.63209061667,45371.783043623,5651.61098879895,54207.22946988181,44885.5536180691,25533.62248102375,20213.730877509854,44727.94821806197,8341.22065471436,27344.83353987816,25702.835480049405,153102.68337451774
5,51.5,2278.8298206912154,456.450500593925,87.68633406866904,248.96033712314045,200.3861078115278,248.96033712314045,200.3861078115278,6.367780983087279,167.70148198427515,772.9431449742632,220.7829062729793,17.501448045703942
6,3538.15,71206.94530941734,13626.325518435706,1982.6679408347584,16895.892084813015,14559.991861765093,16895.892084813015,14559.991861765093,17163.562373953264,3298.4726451181555,17213.260595132404,8196.896748542242,30493.31152450787
7,3814.02,104722.00036268626,27542.956754950137,2202.662835962537,30176.499274220896,25894.597880968973,7916.838507846953,5958.813645135085,8073.605763295988,3305.007438320974,18792.92699561605,10428.246255833676,41730.66969609982
8,1639.85,37944.09375585409,13038.87052855288,1645.2109022240693,12758.105529704855,11425.40766850624,11750.375156916492,10417.677295717876,1742.6867505420753,1910.2098665213955,10614.829757998705,2746.313634885739,4813.895882812719
9,2923.79,40572.44563026346,8517.694450484547,1312.448474661934,7739.359622470748,6329.919763280226,4239.737398550768,3145.78996115398,3104.5656180395986,1908.8192925440324,9537.739741124478,8156.290369595496,7373.869163547036
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,94.49900772836864,3.3163334445411303,0.0603583184005338,12.576649114178307,11.630035735536394,0.2620525749190877,0.2620525749190877,0.0029991711006476,1.6225515654503744,10.475212401159771,2.304862990847713,0.0408637062463241
12,8925.33,151008.14025035864,35174.64288547747,3769.352021749051,24342.42456058984,20897.2696806242,6096.001862627842,5824.841580444943,19685.389888719543,5749.643779509006,27262.912929455764,17039.273893533446,83150.09288458269
13,246.41,7599.582730293919,1244.080603471013,371.0069055805723,133.63811400921705,133.63811400921705,9.109736389052737,9.109736389052737,296.324255372206,587.4061152752402,4369.833119691934,3519.022414363608,1540.1470361152274
14,794.03,8774.134623334794,3481.42273504168,218.1690942634836,3621.166750788254,3069.2484663750174,495.3364324631171,383.392886892458,117.03950094713916,277.2630368921496,2296.4150137165493,1448.8303553468627,463.82763795220495
15,1573.43,61547.7274444302,5086.754725300928,1074.9393833734407,16825.746849459145,15067.742733933732,2565.048624442792,2222.2283022396136,4175.553764358407,2252.4672721823963,11364.082655036496,6945.331414932335,15360.724753823806
16,2054.6,80396.92668339919,6396.657807542887,724.5890923850467,23701.65833768213,22132.73613975796,14330.387743015,13496.467160358838,11811.782208029952,1128.533730109424,9059.660534860795,7289.68477009352,45290.18703146873
17,11883.58,159047.08619222807,222505.97027366597,13094.899030658977,139266.5718400362,114221.80612993422,45838.58540215861,37481.29796712362,35188.81871662207,12459.604605242044,77091.61832893218,48288.81512653903,154734.4350568492
18,2682.76,48619.507079860894,30141.11601836569,3070.028118229177,59085.118988188624,54355.081299114994,24890.15160784753,21812.24521754929,7725.894758067255,4769.044743464352,42046.9240991622,10420.071652709008,43489.406892060775
19,5678.15,75578.0519987835,63510.82714034094,6038.616433880936,68661.16512544853,62974.18145143524,34965.27969428537,31781.380297053005,11982.562509335969,6523.328669021569,59702.34952042951,22940.52125376528,68081.24155840527
20,2471.35,33424.645600479584,13714.93513621528,1692.6120067370184,9216.654434727998,6312.15085973109,4619.0213928880685,3590.483188855373,5329.839091834696,2465.0074582980465,13534.020733954383,6447.725407503973,15633.159749169768
21,4111.0,34261.98176791555,14647.95489848517,3150.8390088905694,22817.704096322017,20360.967132990845,11394.80188564709,10006.597794528294,8205.054734410285,6710.453686134805,19805.42130545332,5591.244159385049,33258.295799613574
22,11325.6,95150.6402686615,32919.87690471686,3462.5580401973484,40663.40971605711,32986.07237560216,27676.72756181689,21067.544410647497,57067.18231433104,5245.48958682016,34499.728770357004,21731.17072230065,138237.2054037927
23,1469.2,22563.77107559554,5880.488850957837,127.16416516316995,2761.919953741414,2624.376407008843,618.0754315197781,566.5133424330794,306.42612942952377,310.57788205728394,4798.404170834296,1025.61682656088,1613.022859636881
24,5718.01,46893.69580622936,19387.703034248603,1916.623442203354,35554.366572441315,27191.71177520048,12682.178609883444,10248.613354675945,13593.266408442034,3271.0573303223136,29539.722001904596,16808.309215921032,28360.248317435537
25,24.55,2371.831677930172,1322.6668997880165,49.47573786530901,457.54943924048337,380.2916384324099,255.6718424437881,201.3415759244832,13.976997082963418,53.15708876125596,1302.196768358306,249.3811823963184,28.22706140271411
26,165.0,6221.617909951072,1200.0150507267233,141.90460048208377,1414.3513572096704,1289.4500602604692,707.0639012807599,641.7596434738812,34.63782018995539,215.02012070082023,1956.730439361779,710.1016144409267,192.2701476831199
27,0.0,1253.317143503848,309.9945903123585,21.107301946582165,562.6086192847442,520.8740018107742,94.07330466274333,88.87815753734722,3.8761928474422818,39.93971027614305,209.08962684472613,368.61746944318696,10.781543684925309
28,14.35,188.53747925080708,71.84735129200486,5.295601388943348,101.10151964692606,90.0005489550249,14.920817594444223,13.94958109503457,1.3649810261973536,13.4461130934487,78.03171807674042,61.54751946394106,0.379569723823341
29,5292.0,38936.40017227125,11641.6858061697,1298.2886957997882,20145.828137427183,18024.577218699604,13833.061957919292,12343.237177895213,7208.395488253805,2439.7301220045083,10689.809780668527,10997.550403485664,28446.62224499612
